"390","","",""
"391","","",""
"392","","",""
"393","","",""
"394","","",""
"395","","",""
"397","","",""
"398","","",""
"399","","",""
"400","","",""
"401","","",""
"402","","",""
"403","","",""
"404","","",""
"405","","",""
"406","","",""
"407","","",""
"408","1945","Setembro","19"
"409","1936","Maio","26"
"410","1939","Julho","11"
"411","1939","Agosto","30"
"413","","",""
"414","","",""
"415","","",""
"416","","",""
"417","","",""
"418","","",""
"419","","",""
"420","1930","Agosto","10"
"421","1930","Agosto","10"
"422","","",""
"423","1930","Agosto","16"
"425","","",""
"426","","",""
"427","1934","Setembro","14"
"428","1936","Março","2"
"430","1930","Maio","21"
"431","1931","Novembro","11"
"432","1931","Novembro","11"
"433","1934","Abril","11"
"434","1934","Abril","11"
"435","","",""
"436","","",""
"437","","",""
"438","","",""
"439","1935","Junho","27"
"440","1937","Junho","4"
"441","1937","Janeiro","19"
"443","1939","Janeiro","24"
"444","1938","Setembro","12"
"445","","",""
"446","","",""
"447","1930","Agosto","10"
"448","1930","Agosto","10"
"449","","",""
"450","","",""
"451","","",""
"452","","",""
"453","","",""
"454","","",""
"455","","",""
"456","","",""
"457","","",""
"458","","",""
"459","","",""
"460","","",""
"461","","",""
"462","","",""
"463","","",""
"464","","",""
"465","","",""
"466","1934","Abril","21"
"467","1934","Abril","23"
"468","1934","Abril","21"
"469","1934","Abril","23"
"470","1934","Setembro","14"
"471","1934","Setembro","14"
"472","1934","Setembro","14"
"473","","",""
"474","","",""
"475","1934","Abril","21"
"476","1934","Abril","21"
"477","1934","Setembro","14"
"478","1934","Setembro","14"
"479","1934","Setembro","14"
"480","1935","Abril","26"
"481","1935","Abril","26"
"482","1935","Abril","26"
"483","1935","Junho","26"
"484","1935","Junho","26"
"485","1935","Junho","27"
"486","1935","Junho","27"
"487","1936","Março","16"
"488","1936","Abril","18"
"489","1936","Abril","17"
"490","1936","Março","2"
"491","1936","Março","2"
"492","1936","Março","2"
"493","1936","Março","2"
"494","1936","Março","2"
"495","1936","Março","2"
"496","1936","Novembro","24"
"497","1936","Junho","4"
"498","1937","Janeiro","19"
