"359","1929","Outubro"
"360","1931","Outubro"
"361","",""
"362","1931","Agosto"
"364","1932","Maio"
"365","",""
"366","1933","Agosto"
"367","1934","Agosto"
"368","1936","Abril"
"369","1936","Setembro"
"370","1936","Novembro"
"371","1937","Março"
"372","1937","Outubro"
"373","1938","Maio"
"374","1938","Julho"
"375","1938","Agosto"
"376","1939","Junho"
"377","1939","Junho"
"378","1939","Fevereiro"
"379","1929","Setembro"
"380","1929","Outubro"
"381","",""
"382","1930","Julho"
"383","",""
"385","1932","Dezembro"
"386","1933","Janeiro"
"387","",""
"388","",""
"389","",""
"390","",""
"391","",""
"392","",""
"393","1928","Dezembro"
"394","1928","Dezembro"
"395","1928","Dezembro"
"397","1929","Fevereiro"
"398","1929","Julho"
"399","1929","Julho"
"400","1930","Março"
"401","1930","Maio"
"402","1930","Junho"
"403","1930","Julho"
"404","1930","Agosto"
"405","",""
"406","",""
"407","",""
"408","1946","Abril"
"409","1938","Maio"
"410","1939","Setembro"
"411","1939","Novembro"
"413","",""
"414","",""
"415","1930","Maio"
"416","1930","Maio"
"417","1930","Setembro"
"418","1930","Junho"
"419","1930","Junho"
"420","1930","Setembro"
"421","1930","Setembro"
"422","1930","Setembro"
"423","1930","Outubro"
"425","1931","Janeiro"
"426","1931","Janeiro"
"427","1935","Julho"
"428","1936","Julho"
"430","1930","Julho"
"431","1932","Maio"
"432","1932","Dezembro"
"433","1934","Julho"
"434","1934","Setembro"
"435","1939","Junho"
"436","",""
"437","",""
"438","1934","Julho"
"439","1935","Dezembro"
"440","1937","Agosto"
"441","1937","Dezembro"
"443","1939","Setembro"
"444","1938","Dezembro"
"445","",""
"446","",""
"447","",""
"448","",""
"449","1934","Março"
"450","1934","Março"
"451","1934","Março"
"452","",""
"453","",""
"454","1934","Julho"
"455","1934","Julho"
"456","1934","Julho"
"457","1934","Agosto"
"458","1934","Agosto"
"459","1934","Agosto"
"460","1934","Outubro"
"461","1934","Outubro"
"462","1934","Outubro"
"463","1934","Outubro"
"464","1934","Outubro"
"465","1934","Outubro"
"466","1934","Junho"
"467","1934","Junho"
"468","1934","Setembro"
"469","1934","Setembro"
"470","1934","Novembro"
"471","1934","Março"
"472","1935","Março"
"473","",""
"474","",""
"475","1935","Abril"
"476","1935","Abril"
"477","1935","Maio"
"478","1935","Maio"
"479","1935","Julho"
"480","1935","Setembro"
"481","1935","Setembro"
"482","1935","Outubro"
"483","1935","Novembro"
"484","1935","Dezembro"
"485","1936","Abril"
"486","1936","Abril"
"487","1936","Maio"
"488","1936","Junho"
"489","1936","Agosto"
"490","1936","Setembro"
"491","1936","Setembro"
"492","1936","Novembro"
"493","1936","Novembro"
"494","1937","Maio"
"495","1937","Maio"
"496","1937","Junho"
"497","1937","Julho"
"498","",""
"499","1937","Outubro"
"500","1937","Novembro"
"501","1937","Dezembro"
"502","1938","Maio"
"504","1938","Junho"
"505","1938","Junho"
"506","1938","Julho"
"507","1938","Outubro"
"508","1938","Julho"
"510","",""
"511","1931","Março"
"512","1930","Maio"
"513","",""
"514","",""
"515","",""
"516","1935","Janeiro"
"517","1938","Junho"
"518","1930","Outubro"
"520","1939","Abril"
"522","1934","Julho"
"523","",""
"524","1937","Agosto"
